sex,sinbun,age,count_p,level_p,count_s,level_s,count_r,level_r
,,58,11,0,45,0,2000,0
,,60,10,0,44,0,2015,0
,,25,28,1,57,1,1752,1
,,26,26,1,54,1,1818,1
,,31,24,1,53,1,1845,1
,,36,23,1,50,1,1911,1
,,41,21,1,47,1,1939,1
,,44,19,1,45,1,1955,1
,,47,17,1,43,1,2022,1
,,50,15,1,42,1,2044,1
,,52,13,1,41,1,2110,1
,,54,12,1,40,1,2132,1
,,56,10,1,39,1,2146,1
,,58,9,1,38,1,2159,1
,,60,8,1,37,1,2213,1
,,25,24,2,50,2,1913,2
,,26,23,2,47,2,1947,2
,,31,21,2,45,2,2020,2
,,36,20,2,43,2,2052,2
,,41,17,2,40,2,2129,2
,,44,16,2,37,2,2141,2
,,47,14,2,36,2,2214,2
,,50,13,2,35,2,2238,2
,,52,11,2,34,2,2311,2
,,54,9,2,33,2,2335,2
,,56,8,2,32,2,2348,2
,,58,7,2,30,2,2359,2
,,60,6,2,29,2,2411,2
,,25,21,3,43,3,2035,3
,,26,20,3,41,3,2115,3
,,31,18,3,38,3,2155,3
,,36,16,3,36,3,2234,3
,,41,15,3,33,3,2319,3
,,44,14,3,30,3,2327,3
,,47,12,3,29,3,2407,3
,,50,10,3,28,3,2433,3
,,52,8,3,27,3,2513,3
,,54,7,3,26,3,2539,3
,,56,6,3,25,3,2549,3
,,58,5,3,23,3,2559,3
,,60,4,3,22,3,2609,3
